Team Name,Player ID,Player Name,Position,unit,goals,assists,own_goals,shots,yellow_cards,red_cards,minutes,xg,xa,xg_chain,xg_build,goals_per90,assists_per90,shots_per90,xg_per90,xa_per90,xg_chain_per90,xg_build_per90
Borussia Dortmund,2662,Christian Pulisic,AMR,Midfield,13,15,0,105,5,0,5129,15.57835249789059,13.985216638073323,39.71902815066278,14.929454760625957,0.2281146422304543,0.2632092025736011,1.8424644180152077,0.2733577158920166,0.24540251460842252,0.6969609151022909,0.261971325493534
Borussia Dortmund,2663,Felix Passlack,DL,Defence,1,0,0,8,1,0,1086,0.5490208324044942,0.7102271430194377,7.180474929511547,6.179035920649767,0.08287292817679558,0.0,0.6629834254143646,0.04549896401142217,0.05885860301266058,0.5950669831086917,0.5120748000538481
Borussia Dortmund,2664,Kevin Großkreutz,DR,Defence,0,2,0,13,2,0,1044,0.9832837786525485,1.517845095135271,3.14766720123589,1.1571370195597408,0.0,0.17241379310344826,1.1206896551724137,0.08476584298728866,0.1308487150978682,0.27135062079619743,0.09975319134135696
Borussia Dortmund,2693,Marius Wolf,MR,Midfield,1,0,0,7,1,1,833,0.2997249681502577,1.5979836918413637,2.896341163665056,1.8915550634264942,0.10804321728691475,0.0,0.7563025210084033,0.0323832498601719,0.1726512992385627,0.3129300176828992,0.20436969472795255
Borussia Dortmund,3059,Axel Witsel,DMC,Midfield,8,6,0,79,10,0,6243,6.015465823002158,6.378283647820353,37.901012409478426,30.438125411979854,0.11532916866890917,0.08649687650168189,1.1388755406054782,0.0867198340653843,0.09195026882970234,0.5463865316118947,0.43880046245045445
Borussia Dortmund,3226,Ousmane Dembélé,AMC,Midfield,6,12,0,55,7,0,2042,5.1060503236949435,11.507424423471093,20.956586353480816,7.158099519088864,0.2644466209598433,0.5288932419196866,2.42409402546523,0.22504629242534033,0.5071832507896172,0.9236497413385277,0.31548920505288824
Borussia Dortmund,3455,Raphael Guerreiro,DL,Defence,22,22,0,154,6,0,8131,17.086917128413912,18.387505680322644,72.21877742186189,50.6139246057719,0.24351248308941092,0.24351248308941092,1.704587381625876,0.1891308008310481,0.2035266893652734,0.7993715370763216,0.5602328390750794
Borussia Dortmund,4239,Sebastian Kehl,DMC,Midfield,0,1,0,8,3,0,1696,0.27686949633061847,1.0580824222415681,6.0580079816281796,5.174453688785434,0.0,0.05306603773584905,0.4245283018867924,0.014692367140186121,0.056148241746309634,0.32147448015715574,0.27458775471149116
Borussia Dortmund,4240,Jeremy Dudziak,Sub,Unknown,0,1,0,0,0,0,60,0.0,0.3482049107551574,1.0932699143886566,1.0837524831295013,0.0,1.5,0.0,0.0,0.5223073661327361,1.639904871582985,1.625628724694252
Borussia Dortmund,4247,Maximilian Philipp,FW,Attacking,10,2,0,57,0,0,1975,5.812371439300477,2.3652114532887936,11.740603595972061,4.9272215347737065,0.45569620253164556,0.09113924050632911,2.59746835443038,0.26486755925926225,0.10778178774480578,0.535014847411385,0.22453161424285245
Borussia Dortmund,4294,Oliver Kirch,DR,Defence,0,1,0,6,0,0,433,0.27730173245072354,0.3513343892991541,2.163275830447674,1.8171423804014921,0.0,0.20785219399538105,1.2471131639722863,0.05763777348860304,0.07302562364185651,0.449641627575729,0.3776970305684395
Borussia Dortmund,4377,Joseph-Claude Gyau,Sub,Unknown,0,0,0,0,0,0,16,0.0,0.0647172555327415,0.0647172555327415,0.0,0.0,0.0,0.0,0.0,0.364034562371671,0.364034562371671,0.0
Borussia Dortmund,4379,Mitsuru Maruoka,Sub,Unknown,0,0,0,0,0,0,10,0.0,0.0180320460349321,0.0180320460349321,0.0,0.0,0.0,0.0,0.0,0.1622884143143889,0.1622884143143889,0.0
Borussia Dortmund,4804,Abdou Diallo,DC,Defence,1,1,0,9,1,1,2383,2.7939354572445145,0.7750442475080487,14.363183798268437,13.916273238137364,0.03776751993285774,0.03776751993285774,0.3399076793957197,0.10552001307260021,0.029271499066606955,0.5424618304004025,0.5255831269124477
Borussia Dortmund,5197,Achraf Hakimi,DMR,Midfield,7,14,0,58,9,0,4449,6.7529397467151275,8.472181532531975,35.05314959399402,24.69497453980148,0.14160485502360082,0.28320971004720163,1.1732973701955496,0.13660700768810102,0.1713860053782598,0.7090994523397306,0.49956118421715734
Borussia Dortmund,5230,Thomas Delaney,DMC,Midfield,4,6,1,45,17,0,4440,3.7453630883246647,3.11562256515026,26.506453711539507,22.628679901361465,0.08108108108108109,0.12162162162162163,0.9121621621621622,0.0759195220606351,0.06315451145574852,0.5372929806393143,0.4586894574600297
Borussia Dortmund,5232,Alexander Isak,FW,Attacking,0,0,0,5,0,0,114,0.688359834253788,0.1569603458046912,1.4718853048980236,0.6392971016466618,0.0,0.0,3.9473684210526314,0.5434419744108853,0.1239160624773878,1.1620147143931765,0.5047082381421013
Borussia Dortmund,5272,Emre Mor,Sub,Unknown,1,2,0,10,0,1,470,1.1700345277786253,1.4680171329528093,4.300605813041329,1.8303558118641376,0.19148936170212766,0.3829787234042553,1.9148936170212765,0.2240491648937793,0.2811096637569209,0.8235202620717439,0.35049366610164334
Borussia Dortmund,5304,Mikel Merino,DC,Defence,0,0,0,5,1,0,288,0.5081410817801952,0.2481176629662513,1.5491848625242708,1.4271824955940247,0.0,0.0,1.5625,0.158794088056311,0.07753676967695353,0.48412026953883464,0.4459945298731327
Borussia Dortmund,5330,Dzenis Burnic,Sub,Unknown,0,0,0,0,1,0,90,0.0,0.0558158196508884,0.1069572642445564,0.0511414483189582,0.0,0.0,0.0,0.0,0.0558158196508884,0.10695726424455639,0.051141448318958206
Borussia Dortmund,5355,Jacob Bruun Larsen,AML,Midfield,2,3,0,26,0,0,1326,3.2695465162396427,3.76132196560502,9.453397432342172,4.104888441041111,0.13574660633484165,0.20361990950226247,1.7647058823529411,0.22191492191671783,0.25529334608178866,0.6416333098874777,0.2786123376272247
Borussia Dortmund,5680,Thomas Meunier,DR,Defence,1,1,0,12,3,0,1478,0.6779451202601189,1.670481858309358,8.257116300519556,7.558734375983477,0.06089309878213803,0.06089309878213803,0.7307171853856562,0.04128217917686786,0.10172081681180123,0.5028013985431393,0.46027475902470427
Borussia Dortmund,6103,Dan-Axel Zagadou,DC,Defence,4,1,0,24,5,1,3159,2.095435693860053,0.8516136445105073,15.135345739312468,14.36487559136003,0.11396011396011396,0.02849002849002849,0.6837606837606838,0.05969902261709553,0.024262496994601344,0.43120643131944353,0.4092557148535621
Borussia Dortmund,6274,Andriy Yarmolenko,FWR,Attacking,3,2,0,31,0,0,1043,5.043338887393474,3.1969868913292885,10.240725208073854,3.088611873798072,0.2588686481303931,0.1725790987535954,2.6749760306807286,0.4351874399476631,0.2758665582163336,0.8836675634963058,0.2665149267898624
Borussia Dortmund,6345,Jadon Sancho,AMR,Midfield,38,45,0,154,4,0,7492,26.8919142736122,30.73893665149808,86.8574174232781,44.04190668091178,0.45648691938067276,0.5405766150560598,1.8499733048585159,0.3230475553423783,0.3692611183442108,1.0434019711819311,0.5290672185373813
Borussia Dortmund,6490,Manuel Akanji,DC,Defence,3,1,1,40,9,0,7407,3.305303572677075,1.4173869937658303,38.469656482338905,37.35366977006197,0.03645200486026732,0.01215066828675577,0.4860267314702309,0.04016164729862788,0.017222199195210577,0.46743203502234393,0.4538720506690397
Borussia Dortmund,6656,Sergio Gómez,Sub,Unknown,0,0,0,0,0,0,4,0.0,0.0784240514039993,0.0,0.0,0.0,0.0,0.0,0.0,1.7645411565899842,0.0,0.0
Borussia Dortmund,7486,Leonardo Balerdi,DC,Defence,0,0,0,0,1,0,125,0.0,0.0,0.1419421508908271,0.1419421508908271,0.0,0.0,0.0,0.0,0.0,0.1021983486413955,0.1021983486413955
Borussia Dortmund,8070,Mateu Morey,DR,Defence,0,3,0,4,1,0,1038,0.611508642323315,1.2007124982774255,7.006021622568369,6.038265097886324,0.0,0.26011560693641617,0.3468208092485549,0.05302098054826431,0.1041080200818577,0.6074585221880089,0.5235489969265599
Borussia Dortmund,8114,Tobias Raschl,Sub,Unknown,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borussia Dortmund,8191,Giovanni Reyna,AML,Midfield,4,6,0,42,3,0,2324,4.520937664434313,5.933794079348444,18.175157621502876,11.354140143841505,0.1549053356282272,0.2323580034423408,1.6265060240963856,0.1750793415658727,0.22979409085256453,0.7038572228637086,0.43970422243792406
Borussia Dortmund,8260,Erling Haaland,FW,Attacking,40,8,0,125,2,0,3477,32.48782768473029,5.561924740672111,38.56345940660685,8.881170636974275,1.0353753235547887,0.2070750647109577,3.2355478861087144,0.8409273775167462,0.14396699069901925,0.9981913565126881,0.2298836230450632
Borussia Dortmund,8824,Jude Bellingham,DMC,Midfield,1,3,0,33,4,1,1707,2.5655673220753665,3.5406820010393854,12.28920316696167,7.932990986853838,0.05272407732864675,0.15817223198594024,1.7398945518453426,0.13526716988095078,0.18667919161894825,0.6479368980823376,0.4182596302383394
Borussia Dortmund,8825,Reinier,Sub,Unknown,1,1,0,3,0,0,229,0.634541094303131,0.3150078039616344,2.299120713025331,1.3495718091726299,0.3930131004366812,0.3930131004366812,1.1790393013100435,0.24938296282655803,0.12380219369671222,0.9035845597042785,0.5303994009848764
Borussia Dortmund,8989,Ansgar Knauff,Sub,Unknown,1,1,0,2,0,0,59,0.1087397560477256,0.9649253077805041,1.0226142629981039,0.1061763800680636,1.5254237288135593,1.5254237288135593,3.0508474576271185,0.16587420414059836,1.471919961021108,1.5599200622004974,0.16196396959535125
Borussia Dortmund,9133,Youssoufa Moukoko,Sub,Unknown,3,0,0,20,0,0,390,2.253476724028587,0.7388399988412857,4.1390052773058414,1.2229013461619616,0.6923076923076923,0.0,4.615384615384615,0.5200330901604431,0.17050153819414285,0.9551550639936557,0.2822080029604527
Borussia Dortmund,9227,Steffen Tigges,Sub,Unknown,0,0,0,4,0,0,40,0.29043867206200946,0.0245254635810852,0.2782871327362954,0.0,0.0,0.0,9.0,0.6534870121395213,0.055182293057441704,0.6261460486566647,0.0
Borussia M.Gladbach,79,Tobias Strobl,MC,Midfield,0,7,0,16,11,1,4579,1.1495476681739085,5.74604767281562,15.066063156351445,12.515222843736408,0.0,0.13758462546407513,0.314479143917886,0.0225942979112583,0.11293825956615108,0.29612266522638786,0.24598603536498725
Borussia M.Gladbach,111,Jannik Vestergaard,DC,Defence,7,1,1,59,6,0,5350,5.579200024716555,1.4340488240122793,13.490790863521395,12.024677679874001,0.1177570093457944,0.016822429906542057,0.9925233644859813,0.09385570135037195,0.024124185824505633,0.22694788368540664,0.20228429741844114
Borussia M.Gladbach,155,Max Kruse,FW,Attacking,11,9,0,65,2,0,2586,11.078691450878978,8.653631360270083,21.175484623759985,9.910090547055006,0.382830626450116,0.31322505800464034,2.262180974477958,0.3855693080352312,0.3011704649745969,0.7369658221726214,0.34489874293694917
Borussia M.Gladbach,187,Christoph Kramer,MC,Midfield,7,8,1,53,31,1,11094,4.160222759470342,7.031879751011727,41.073330889455974,33.76629242394119,0.05678745267712277,0.06489994591671173,0.42996214169821523,0.0337497790113873,0.057046076941685175,0.3332071191681123,0.27392881901520705
Borussia M.Gladbach,199,Yann Sommer,GK,Goalkeeper,0,0,0,0,6,1,14158,0.0,0.1046993173658847,28.096636004745953,28.073591418564313,0.0,0.0,0.0,0.0,0.000665555767970732,0.17860554036072437,0.17845904984254754
Borussia M.Gladbach,200,Andreas Christensen,DC,Defence,5,1,1,28,2,0,5303,4.272029392421245,1.0397049179300666,13.41780708171427,11.296317191794513,0.08485762775787291,0.01697152555157458,0.47520271544408826,0.07250285599055478,0.017645378580747877,0.2277206557334121,0.19171573585923177
Borussia M.Gladbach,201,Tony Jantschke,DC,Defence,1,2,0,29,19,0,7554,2.8391894064843646,2.8394171427935353,25.08323179464787,23.64151847735047,0.011914217633042097,0.023828435266084195,0.3455123113582208,0.03382672049028234,0.033829433790232746,0.2988470825414758,0.2816701963147395
Borussia M.Gladbach,202,Håvard Nordtveit,DC,Defence,6,1,0,35,6,1,3245,2.111053607426583,1.558558828197419,10.881098783574997,10.006635996513067,0.16640986132511557,0.02773497688751926,0.9707241910631742,0.058550023010290435,0.04322659307789452,0.30178702327326645,0.2775338180851082
Borussia M.Gladbach,203,Julian Korb,DR,Defence,1,2,0,13,7,0,4005,1.0173602942377324,2.531923918053507,12.357158441096542,9.859601747244595,0.02247191011235955,0.0449438202247191,0.29213483146067415,0.02286202908399399,0.05689716669783162,0.27768895373250657,0.2215640842077437
Borussia M.Gladbach,204,Granit Xhaka,MC,Midfield,5,2,0,94,15,4,5009,4.620787767693399,3.9113358464092007,29.36037301272154,26.028210695832968,0.08983829107606309,0.03593531643042523,1.6889598722299861,0.08302473529495027,0.07027754565318987,0.5275371473637329,0.46766599373626816
Borussia M.Gladbach,205,Mahmoud Dahoud,MC,Midfield,7,14,0,83,7,0,4375,5.1602155724540335,8.583943365141748,28.483141532167792,17.94242149218917,0.14400000000000002,0.28800000000000003,1.7074285714285715,0.10615300606191155,0.1765839777972017,0.5859389115188803,0.3691012421250343
Borussia M.Gladbach,206,Oscar Wendt,DL,Defence,12,10,0,97,22,0,15172,8.724347910843786,14.03159270342439,59.681462425738566,43.94387648813426,0.07118375955707883,0.05931979963089903,0.5754020564197205,0.051752656998150584,0.08323512676695197,0.35402923927738406,0.2606741948281099
Borussia M.Gladbach,207,Ibrahima Traoré,MR,Midfield,6,8,0,100,5,0,4078,6.916165168397127,13.997738602571188,26.878825700841844,12.367646630853413,0.13241785188818048,0.17655713585090732,2.2069641981363413,0.1526372891505006,0.30892507950745635,0.593206060097049,0.27294953329495025
Borussia M.Gladbach,208,Lars Stindl,FW,Attacking,50,26,0,330,31,0,12868,44.39070944860577,25.637820695526894,91.55126710794866,45.6299884589389,0.3497046938141125,0.1818464407833385,2.3080509791731427,0.3104727891183182,0.179313324727807,0.6403181566455843,0.3191404228554943
Borussia M.Gladbach,209,Josip Drmic,FW,Attacking,7,1,0,43,1,0,1374,6.23895002901554,0.8010438587516544,9.59306126087904,2.9240173958241935,0.4585152838427948,0.06550218340611354,2.8165938864628823,0.40866484906215333,0.05247012175229177,0.6283664581361816,0.19152952374394283
Borussia M.Gladbach,210,Raffael,FW,Attacking,43,15,0,255,4,0,9161,38.93073287792504,19.95854498259723,73.55703396163881,31.047162534669038,0.4224429647418404,0.14736382490994435,2.5051850234690534,0.3824654468958905,0.1960778352181804,0.7226430582411846,0.30501524158063675
Borussia M.Gladbach,211,Marvin Schulz,DC,Defence,0,1,0,1,0,0,392,0.0233378931879997,0.0842033475637435,0.5029646977782247,0.479626804590225,0.0,0.22959183673469385,0.22959183673469385,0.005358189762550952,0.01933240122636968,0.11547658877561283,0.11011839901306186
Borussia M.Gladbach,212,Nico Elvedi,DC,Defence,8,5,0,60,19,0,13291,7.869226608425377,4.43095902726054,46.68388000689446,43.27131169475614,0.054171996087578056,0.033857497554736285,0.4062899706568354,0.053286464130485586,0.030004236886122086,0.3161198706358063,0.29301166597908757
Borussia M.Gladbach,213,Thorgan Hazard,ML,Midfield,31,29,0,270,10,0,10021,38.6590706622228,26.95912403054535,68.74710779171437,27.701329839415845,0.2784153278115956,0.2604530485979443,2.42490769384293,0.34720251068756136,0.24212365659605642,0.6174273726428793,0.24878951058251933
Borussia M.Gladbach,214,Tobias Sippel,GK,Goalkeeper,0,0,0,0,0,0,688,0.0,0.0099983951076865,0.3181186066940425,0.30812021158635605,0.0,0.0,0.0,0.0,0.001307929592575269,0.04161435261986021,0.040306423027284946
Borussia M.Gladbach,215,Roel Brouwers,DC,Defence,1,0,0,7,2,0,1697,1.3136397842317817,0.3728446941822766,5.052722234278917,4.971674586646259,0.05303476723629935,0.0,0.37124337065409546,0.06966858018907506,0.019773731571246254,0.26796994760465676,0.26367160447740917
Borussia M.Gladbach,216,Branimir Hrgota,FW,Attacking,2,3,0,17,0,0,768,3.2119818776845928,1.5612945891916747,6.148782547563314,2.196770653128624,0.234375,0.3515625,1.9921875,0.37640412629116327,0.1829642096708994,0.7205604547925759,0.2574340609135106
Borussia M.Gladbach,273,Raúl Bobadilla,FW,Attacking,0,0,0,15,2,0,439,1.3788804765790696,0.3945040404796598,2.1528355609625573,0.37945108488202084,0.0,0.0,3.0751708428246016,0.2826862024877364,0.08087782151063641,0.44135580976453337,0.07779179416715688
Borussia M.Gladbach,315,Matthias Ginter,DC,Defence,10,4,0,89,8,0,10831,9.119674724526702,5.119121422991156,37.74100369680673,32.9773562522605,0.0830948204228603,0.03323792816914412,0.7395439017634566,0.07577977335494443,0.04253724753662672,0.3136081924764662,0.27402474958022754
Borussia M.Gladbach,320,Jonas Hofmann,MC,Midfield,16,23,0,139,6,0,7991,19.77258942648768,17.414462940767404,48.94127565063536,25.617962189950045,0.1802027280690777,0.2590414215992992,1.5655112001001128,0.22269215972768003,0.19613335811150875,0.5512094617140761,0.28852666713746766
Borussia M.Gladbach,327,Fabian Johnson,ML,Midfield,12,10,0,77,4,0,6523,11.905418335460125,9.24681573268026,31.30355299543589,15.141362242400644,0.16556799018856355,0.13797332515713628,1.0623946037099494,0.1642630155130172,0.12758139137532168,0.43190552960129236,0.20891040959927304
Borussia M.Gladbach,401,Álvaro Domínguez,DC,Defence,0,3,0,11,4,0,2585,1.09075067192316,1.4308123476803298,9.876521658152342,9.012768466025591,0.0,0.10444874274661509,0.3829787234042553,0.03797584544413323,0.049815516940514386,0.3438634233012421,0.3137907783142372
Borussia M.Gladbach,412,André Hahn,FW,Attacking,14,4,0,97,7,0,3582,11.250629607588051,4.7100905384868375,16.58528598770499,3.9484534393995987,0.35175879396984927,0.10050251256281408,2.4371859296482414,0.2826791358690465,0.11834398337906626,0.4167157283342962,0.09920737284923614
Borussia M.Gladbach,420,Patrick Herrmann,MR,Midfield,24,18,0,168,13,0,7901,25.583348207175728,20.41787156462669,54.54318084381521,18.056525543332096,0.2733831160612581,0.20503733704594357,1.9136818124288064,0.29141897717324583,0.23257922298650832,0.621299364123955,0.20568121742815956
Borussia M.Gladbach,433,Nico Schulz,DML,Midfield,1,2,0,4,1,0,422,0.13095082156360138,0.7561397198587654,1.8029272183775902,0.9625097289681432,0.2132701421800948,0.4265402843601896,0.8530805687203792,0.027927900333469487,0.16126202556229594,0.38451054420375147,0.2052745867467604
Borussia M.Gladbach,439,Martin Stranzl,DC,Defence,0,0,0,9,3,0,1532,0.4707725495100018,0.1431117020547389,5.603995499201119,5.496738133020698,0.0,0.0,0.5287206266318538,0.027656350819778176,0.0084073454209703,0.32921644577552267,0.322915425569101
Borussia M.Gladbach,543,Reece Oxford,DC,Defence,0,0,0,3,1,0,462,0.1115015111863612,0.0401565767824649,1.7904614433646202,1.7503048703074455,0.0,0.0,0.5844155844155845,0.0217210736077327,0.007822709762817837,0.3487911902658351,0.34096848122872314
Borussia M.Gladbach,2063,Timothée Kolodziejczak,Sub,Unknown,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borussia M.Gladbach,2624,Djibril Sow,MC,Midfield,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borussia M.Gladbach,2668,Martin Hinteregger,DC,Defence,0,0,2,4,0,0,660,0.2099957820028065,0.3619838133454322,2.418544922024011,2.0851706303656097,0.0,0.0,0.5454545454545454,0.02863578845492816,0.049361429092558945,0.32980158027600154,0.2843414495953104
Borussia M.Gladbach,3310,Alassane Pléa,FW,Attacking,28,15,0,222,4,2,6476,29.580700502730906,15.698761094361542,46.74777221865952,13.760242973454293,0.3891290920321186,0.20846201358863498,3.0852378011117976,0.4110968260107754,0.218173023238502,0.6496756484989742,0.19123253051434316
Borussia M.Gladbach,3349,Ramy Bensebaini,DL,Defence,9,3,0,45,13,1,3265,6.592437431216239,3.8353238925337787,14.037202905863523,10.248359136283396,0.24808575803981622,0.08269525267993874,1.2404287901990811,0.18172109305037104,0.10572102613416236,0.38693668040665147,0.2824968827765714
Borussia M.Gladbach,3715,Mamadou Doucouré,Sub,Unknown,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borussia M.Gladbach,5258,László Bénes,MC,Midfield,1,5,0,29,3,0,1358,1.2552803345024577,4.46906457375735,7.400185568258165,5.09158126451075,0.0662739322533137,0.33136966126656847,1.9219440353460973,0.08319236384773283,0.2961824827968788,0.49043939701269135,0.3374391117864267
Borussia M.Gladbach,5266,Vincenzo Grifo,ML,Midfield,0,3,0,12,0,0,780,0.809320653788745,2.307573333382606,4.315713085234165,2.9057348296046253,0.0,0.34615384615384615,1.3846153846153846,0.09338315236023981,0.26625846154414684,0.497966894450096,0.3352770957236106
Borussia M.Gladbach,5326,Ba-Muaka Simakala,Sub,Unknown,0,0,0,0,0,0,10,0.0,0.0,0.0415789484977722,0.0415789484977722,0.0,0.0,0.0,0.0,0.0,0.37421053647994984,0.37421053647994984
Borussia M.Gladbach,5356,Breel Embolo,FW,Attacking,13,7,0,87,8,0,2967,17.345351811498404,6.110025683417915,26.49326429143548,9.027054230682552,0.39433771486349845,0.2123356926188069,2.6390293225480286,0.5261481843730558,0.18533950505817742,0.8036379461507224,0.2738236874827872
Borussia M.Gladbach,5992,Marcus Thuram,AML,Midfield,18,11,0,114,6,1,3981,18.636146940290928,9.858329137787223,31.067276153713465,7.825235260650514,0.4069329314242653,0.24868123587038432,2.577241899020347,0.42131455027033,0.22287104305472244,0.702349875366544,0.17690810687227987
Borussia M.Gladbach,6147,Denis Zakaria,MC,Midfield,9,4,0,90,30,0,7558,9.687977786175905,3.736771727912126,32.167254999279976,21.884830391965806,0.10717120931463349,0.04763164858428155,1.071712093146335,0.11536358835086417,0.04449714944589724,0.3830448465116694,0.26060263763918
Borussia M.Gladbach,6148,Michaël Cuisance,MC,Midfield,0,2,0,33,5,0,1443,1.9490259215235701,2.322081113234162,8.037634033709763,5.463731138035654,0.0,0.12474012474012475,2.0582120582120584,0.12156086828629335,0.14482834386075855,0.5013077359902139,0.3407732518525356
Borussia M.Gladbach,6270,Julio Villalba,Sub,Unknown,0,0,0,0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borussia M.Gladbach,6352,Valentino Lazaro,DR,Defence,2,0,0,15,3,0,1230,1.8091698903590436,1.218224916607141,6.592177955433725,3.779077380895614,0.14634146341463414,0.0,1.0975609756097562,0.13237828466041784,0.08913840853222983,0.48235448454393115,0.27651785713870347
Borussia M.Gladbach,6446,Marcel Benger,Sub,Unknown,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borussia M.Gladbach,6483,Florian Mayer,Sub,Unknown,0,0,0,0,0,0,18,0.0,0.0,0.029431078583002,0.029431078583002,0.0,0.0,0.0,0.0,0.0,0.14715539291501,0.14715539291501
Borussia M.Gladbach,6508,Mandela Egbo,Sub,Unknown,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borussia M.Gladbach,6557,Louis Beyer,DC,Defence,0,0,0,5,2,0,1009,0.3286144472658633,0.1146169584244489,3.2025572191923852,2.937180390581488,0.0,0.0,0.44598612487611494,0.029311496782881762,0.01022351462656135,0.2856592167763277,0.26198834009151034
Borussia M.Gladbach,7065,Florian Neuhaus,MC,Midfield,13,15,0,156,20,0,7072,15.501252081710842,9.186972925439475,51.08116075210273,30.667442837730047,0.16544117647058823,0.19089366515837103,1.9852941176470589,0.19727272162810744,0.11691566222985758,0.6500713331008549,0.3902813709552749
